conf_id,blind,accept_rate,submit_count,accept_count,reject_count
ICLR.cc/2019/Conference,double,0.0,1419,0,1419
ICLR.cc/2019/Workshop/DeepGenStruct,double,1.0,42,42,0
ICLR.cc/2019/Workshop/LLD,double,0.7424242424242424,66,49,17
ICLR.cc/2019/Workshop/RML,double,1.0,8,8,0
ICLR.cc/2019/Workshop/drlStructPred,double,1.0,8,8,0
ICLR.cc/2020/Conference,double,0.3104383190239494,2213,687,1526
ICLR.cc/2020/Workshop/DeepDiffEq,double,0.0,42,0,42
ICLR.cc/2021/Conference,double,0.33114880493446414,2594,859,1735
ICLR.cc/2021/Workshop/EBM,double,0.0,16,0,16
ICLR.cc/2021/Workshop/GTRL,double,0.0,38,0,38
ICLR.cc/2021/Workshop/Learning_to_Learn,double,0.0,16,0,16
ICLR.cc/2021/Workshop/Neural_Compression,double,0.0,31,0,31
ICLR.cc/2021/Workshop/SSL-RL,double,0.0,31,0,31
ICLR.cc/2022/Conference,double,0.41739793971766503,2621,1094,1527
ICLR.cc/2022/Workshop/ALOE,double,0.0,33,0,33
ICLR.cc/2022/Workshop/AfricaNLP,double,0.0,19,0,19
ICLR.cc/2022/Workshop/Cells2Societies,double,0.0,14,0,14
ICLR.cc/2022/Workshop/DGM4HSD,double,0.8235294117647058,34,28,6
ICLR.cc/2022/Workshop/DL4C,double,0.0,28,0,28
ICLR.cc/2022/Workshop/DLG4NLP,double,0.0,8,0,8
ICLR.cc/2022/Workshop/EmeCom,double,0.9411764705882353,17,16,1
ICLR.cc/2022/Workshop/GMS,double,0.0,43,0,43
ICLR.cc/2022/Workshop/GPL,double,0.0,36,0,36
ICLR.cc/2022/Workshop/GTRL,double,0.0,53,0,53
ICLR.cc/2022/Workshop/MLDD,double,0.0,34,0,34
ICLR.cc/2022/Workshop/OSC,double,0.7380952380952381,42,31,11
ICLR.cc/2022/Workshop/PAIR2Struct,single,0.0,20,0,20
ICML.cc/2019/Workshop/AMTL,double,0.0,37,0,37
ICML.cc/2019/Workshop/Deep_Phenomena,double,0.0,51,0,51
ICML.cc/2019/Workshop/RL4RealLife,single,0.4339622641509434,53,23,30
ICML.cc/2020/Workshop/Artemiss,single,0.9142857142857143,35,32,3
ICML.cc/2020/Workshop/LaReL,double,0.0,13,0,13
ICML.cc/2020/Workshop/LifelongML,double,0.0,53,0,53
ICML.cc/2020/Workshop/SAS,single,0.6190476190476191,21,13,8
ICML.cc/2021/Workshop/AML,double,1.0,68,68,0
ICML.cc/2021/Workshop/AutoML,double,1.0,26,26,0
ICML.cc/2021/Workshop/INNF,double,0.9473684210526315,38,36,2
ICML.cc/2021/Workshop/URL,double,0.0,37,0,37
ICML.cc/2022/Workshop/AI4ABM,double,0.0,16,0,16
ICML.cc/2022/Workshop/AI4Science,double,0.0,52,0,52
