decision_id,paper_id,decision_text
HklSNVuPqE,rylgEULtdN,Accept
ryevD4dw9N,rygiEL8FOV,Accept
Hygi3WKP9V,rygJV8UKuV,Accept
rJx9i7dP9E,ryg3XILFdN,Accept
ryxglVuv9V,ryeBN88Ku4,Accept
HkxrS4dD9V,rkxkr8UKuN,Accept
SJeJSNuP9E,rklf4IUtOE,Accept
HylTRfYv54,rkepX8LFuE,Accept
Hyg8BQuw5N,rkeXrIIt_4,Accept
H1erbV_w54,rJlo4UIt_E,Accept
BJgHEVuv94,rJl97IIt_E,Accept
HkeMlNOvc4,rJgON8ItOV,Accept
HJg0R7dw9N,rJeQE8LYdV,Accept
HJeDvVuv5E,r1xaVLUYuE,Accept
BJxiiXuv9E,r1gxEILFu4,Accept
rklxfPosc4,SyxPVLUYdE,Accept
S1xl-NdP5E,Syx9EIIKdN,Accept
ryeIUBYD94,SkgsQ8LK_E,Accept
B1gQTXdwqV,SkgkEL8FdV,Accept
r1elyNuv5V,SJxnVL8YOV,Accept
Bkgw74uw9E,SJx-SULKOV,Accept
SJew-xFv9E,SJlf488Y_4,Accept
BklW7VOwcN,SJgxrLLKOE,Accept
BJxL0Xuw5E,SJgZSULYdN,Accept
HklF74dD5E,SJe0ELLKuE,Accept
SJe2QN_w9N,S1xim8UFuV,Accept
B1gb4VOPq4,S1xA7ILFOV,Accept
r1gx-EFP5V,S1lnmLLKu4,Accept
HkgSzVdw9N,S1lNELLKuN,Accept
HJx6xEdP5N,HylINLUKuV,Accept
HkxY9mdPq4,HyeJB8LKOV,Accept
S1e2zNOw94,HklaEUUtON,Accept
Bkeix4_vqN,HklKEUUY_E,Accept
HylSxVOPcE,Hkl8EILFdN,Accept
H1liATOP5V,HJg4E8IFdE,Accept
rkxsbN_wqN,HJg24U8tuE,Accept
Hkgk0XOPcV,HJeZNLIt_4,Accept
H1xPWEOP9E,H1gHELLK_V,Accept
BJlcVNOP9V,BygbVL8KO4,Accept
r1lfOmODqE,ByeMHULt_N,Accept
Bkg5Lqdw54,Bkgzr8LKOV,Accept
BkeGm4OP5E,BJlQEILY_N,Accept
HkxyyX43tN,ryloJjA4d4,Accept
Hye_n0hG9V,rylVYjqHdN,Accept
ryxCCRhz9V,rygEej0Eu4,Accept
HylRWyMfcV,rkxJgoRN_V,Reject
Syl-3kafqN,rkx5oNQeOV,Accept
HkeXIJ6zqV,rkeWgsAVuE,Accept
HJeu2gaf9N,rJlzbihzdE,Accept
H1lE4a3fcN,rJgqFi5rOV,Accept
Hyg8TTYYtV,rJMw747l_4,Accept
ByxERKnMcV,r1xOmNmxuN,Accept
BJe4ClEFYE,r1lqA-OSvV,Accept
r1ll_Fm3KN,r1ldYi9rOV,Accept
SyeTrWQM94,r1lQeoCVu4,Accept
B1gtJDkYF4,r1gp1jRN_4,Accept
r1xMK3nf9E,r1gW6UeMP4,Accept
r1g5kgNYKV,r1gPtjcH_N,Accept
B1g9v9nGcV,r1ew74mluN,Accept
BkgJSxpG9V,r1esys0Nd4,Accept
ByxVgaYFtN,r1eqsNXgdV,Accept
SJl17qhfq4,SyxKiVmedV,Accept
HygV3LkFtE,SyxCysRNdV,Accept
S1lEqxazqV,Sylq1jRV_N,Accept
Skx5PD2GqN,SkxwBgpmDE,Accept
Hygihr1FKN,Sklsts5H_E,Reject
Bkl7YBwAY4,SkeoV4yZUV,Accept
r1lcX2nz94,SkGy6hjvPE,Accept
Byx2ylpGcE,SJxakiC4u4,Accept
